Driver,AvgLapTime,StdLapTime,AvgS1,AvgS2,AvgS3,StintLength,OvertakeScore,PitStopCount,Cluster,PCA1,PCA2
VER,75.56462121212121,0.9018164364667481,19.777227272727274,35.83198484848485,19.955409090909086,47,12.0,1,1,-2.197361456257544,1.8225534786734432
ANT,76.68,1.6385306018910157,19.974875,36.432875,20.27225,13,7.0,0,2,0.603359442034671,-2.5832688744485894
ALO,76.79921739130437,0.7176014313177268,20.224695652173914,36.2598695652174,20.314652173913043,18,4.0,0,0,1.319641285376371,0.022860311965153025
LEC,75.31453846153846,0.8934774423027396,19.632876923076925,35.70066153846154,19.981,29,6.0,1,1,-3.203339797377135,0.6946276688231009
STR,76.909,1.0282108594196882,20.128172413793102,36.28968965517241,20.491137931034483,17,11.0,1,0,1.5050009841270815,-0.9912945564231581
TSU,77.12945454545455,1.11152386720183,20.083227272727274,36.546045454545464,20.50018181818182,20,10.0,0,3,2.3068215490831427,-0.8161854329954281
ALB,76.19,0.9615684303022048,20.004250000000003,35.965700000000005,20.220049999999997,23,9.0,0,3,-0.04408794749299013,0.022392729558780605
HUL,77.20912903225806,0.7858241848291289,20.24822580645161,36.44009677419355,20.520806451612906,17,11.0,1,0,2.40690735587222,-0.4637395657265639
LAW,76.51498076923076,0.7431432313948807,19.935615384615385,36.20267307692308,20.376692307692306,35,3.0,0,3,0.30083285412887334,1.2541255091686916
OCO,77.010375,0.7986176821688379,20.25867857142857,36.300107142857144,20.451589285714288,42,9.0,0,3,2.126274333503654,1.3857449175497853
NOR,75.40592537313432,1.025693014996746,19.779910447761193,35.6534328358209,19.97258208955224,30,6.0,2,1,-3.4396689280980257,0.0633757343827422
COL,76.98235483870968,1.0334084235637295,20.04019354838709,36.51325806451612,20.428903225806447,23,10.0,0,3,1.9112930264048142,-0.35179339833641743
HAM,75.80315625,0.922507456308319,19.8880625,35.831093749999994,20.084,37,2.0,1,1,-2.189332707098692,0.8303804991233068
BOR,76.87105405405406,0.9337686468745279,20.02762162162162,36.31943243243243,20.523999999999997,21,12.0,0,3,1.9502190525833583,-0.1555162130960291
SAI,76.0456756756757,1.130445734459889,19.812837837837836,36.07983783783784,20.153000000000006,21,3.0,0,1,-1.119281609786708,-0.5311433290206968
HAD,77.08505263157895,0.6602456637238643,20.096280701754385,36.585684210526324,20.403087719298245,51,7.0,0,3,1.957599276516706,2.38572708883255
RUS,75.84554838709676,1.5908510686361081,20.030419354838713,35.76877419354839,20.04635483870968,12,3.0,2,1,-2.5960557639469126,-2.916255559926996
PIA,75.33772727272728,1.006394761901719,19.787106060606057,35.56715151515152,19.983469696969703,29,6.0,1,1,-3.0606345736384832,0.3042634218119637
BEA,76.81563636363637,1.024488006828954,20.025181818181814,36.332121212121216,20.45833333333333,28,9.0,0,3,1.4618136240656012,0.02314557008436078
